Apple,Apple iPhone 7 (A1780) 32G 金色 移动联通4G手机,3133921,3199.0,3199.00
华为（HUAWEI）,华为 HUAWEI nova 3全面屏高清四摄游戏手机 6GB+128GB 蓝楹紫 全网通移动联通电信4G手机 双卡双待,8026730,2999.0,2999.00
Apple,Apple iPhone 7 (A1660) 128G 玫瑰金色 移动联通电信4G手机,3133823,4499.0,4599.00
Apple,Apple iPhone 7 (A1660) 32G 黑色 移动联通电信4G手机,3133817,3599.0,3799.00
Apple,Apple iPhone 7 Plus (A1661) 128G 亮黑色 移动联通电信4G手机,3133859,5499.0,5599.00
Apple,Apple iPhone 7 Plus (A1661) 32G 黑色 移动联通电信4G手机,3133847,4499.0,4699.00
诺基亚（NOKIA）,诺基亚 NOKIA X6 6GB+64GB 星空黑 全网通 双卡双待 移动联通电信4G手机,7299782,1599.0,1699.00
小米（MI）,小米Max3 大屏游戏智能手机 4GB+64GB 黑色 全网通4G手机 双卡双待,7651951,1699.0,1699.00
小米（MI）,小米 红米Note5A 移动4G+版全网通 4GB+64GB 香槟金 移动联通电信4G手机 双卡双待 拍照手机,5424753,949.0,999.00
小米（MI）,小米 红米Note5 全网通版 4GB+64GB 玫瑰金 移动联通电信4G手机 双卡双待 拍照手机,6600216,1199.0,1199.00
Apple,Apple iPhone 7 Plus (A1661) 32G 银色 移动联通电信4G手机,3133845,4499.0,4699.00
Apple,Apple iPhone 7 Plus (A1661) 32G 玫瑰金色 移动联通电信4G手机,3133843,4499.0,4699.00
Apple,Apple iPhone 7 Plus (A1661) 128G 金色 移动联通电信4G手机,3133851,5499.0,5599.00
小米（MI）,小米 红米5 Plus 全面屏拍照手机 全网通版 3GB+32GB 金色 移动联通电信4G手机 双卡双待,5911916,799.0,849.00
小米（MI）,小米 红米5 Plus 全面屏拍照手机 全网通版 3GB+32GB 玫瑰金 移动联通电信4G手机 双卡双待,5835261,799.0,849.00
华为（HUAWEI）,荣耀 V10 高配版 6GB+64GB 极光蓝 移动联通电信4G全面屏游戏手机 双卡双待,5821455,2299.0,2199.00
Apple,Apple iPhone 7 Plus (A1661) 32G 金色 移动联通电信4G手机,3133841,4499.0,4699.00
小米（MI）,小米6X 全网通 4GB+64GB 冰川蓝 移动联通电信4G手机 双卡双待 智能手机 拍照手机,7119992,1399.0,1399.00
小米（MI）,小米 红米Note5 全网通版 3GB+32GB 黑色 移动联通电信4G手机 双卡双待 拍照手机,6813717,999.0,949.00
小米（MI）,小米 红米6 4GB+64GB 巴厘蓝 全网通4G手机 双卡双待,8264427,899.0,899.00
华为（HUAWEI）,荣耀 V10 高配版 6GB+64GB 炫影蓝 移动联通电信4G全面屏游戏手机 双卡双待,7694155,2299.0,2199.00
小米（MI）,小米8 全面屏游戏智能手机 8GB+128GB 蓝色 全网通4G 双卡双待,8570968,3299.0,3299.00
Apple,Apple iPhone 7 (A1660) 32G 银色 移动联通电信4G手机,3133815,3599.0,3799.00
Apple,Apple iPhone 7 (A1660) 128G 银色 移动联通电信4G手机,3133825,4499.0,4599.00
小米（MI）,小米 红米6 Pro AI美颜双摄 4GB+32GB 曜石黑 全网通4G手机 双卡双待,7651931,1199.0,1099.00
小米（MI）,小米6X 全网通 6GB+128GB 曜石黑 移动联通电信4G手机 双卡双待 智能手机 拍照手机,7119990,1799.0,1799.00
Apple,Apple iPhone 7 (A1780) 32G 玫瑰金色 移动联通4G手机,3133923,3199.0,3199.00
华为（HUAWEI）,华为 HUAWEI 畅享7S 全面屏双摄 4GB +64GB 黑色 移动联通电信4G手机 双卡双待,6001251,1199.0,1279.00
华为（HUAWEI）,荣耀 V10 高配版 6GB+64GB 沙滩金 移动联通电信4G全面屏游戏手机 双卡双待,5853575,2299.0,2199.00
华为（HUAWEI）,荣耀8青春版 全网通 标配版 3GB+32GB 流光金,3882469,899.0,1099.00
华为（HUAWEI）,荣耀 畅玩6X 4GB+64GB 全网通4G手机 尊享版 铂光金,3479621,1699.0,1699.00
华为（HUAWEI）,【新年货】荣耀 畅玩6X 4GB+64GB 全网通4G手机 尊享版 冰河银,3942714,1689.0,1699.00
小米（MI）,小米 红米6 3GB+32GB 铂银灰 全网通4G手机 双卡双待,7651927,729.0,729.00
OPPO,OPPO R15 全面屏双摄拍照手机 6G+128G 星空紫 全网通 移动联通电信4G 双卡双待手机,6773559,2699.0,2699.00
小米（MI）,小米 红米5 Plus 移动4G+全网通版 4GB+64GB 黑色 移动联通电信4G手机 双卡双待,6128025,1199.0,1299.00
小米（MI）,小米 红米5 Plus 移动4G+全网通版 4GB+64GB 金色 移动联通电信4G手机 双卡双待,6128061,1199.0,1299.00
华为（HUAWEI）,荣耀Note10 全网通6G+64G 幻夜黑 移动联通电信4G全面屏手机 双卡双待 游戏手机,8058010,2799.0,2799.00
Apple,Apple iPhone 6s Plus (A1699) 32G 金色 移动联通电信4G手机,3726834,2900.0,3199.00
小米（MI）,小米 红米Note5 全网通版 4GB+64GB 金色 移动联通电信4G手机 双卡双待 拍照手机,6600240,1199.0,1199.00
Apple,Apple iPhone 6s Plus (A1699) 32G 深空灰 色 移动联通电信4G手机,3726832,3199.0,3199.00
Apple,Apple iPhone 6s Plus (A1699) 32G 玫瑰金色 移动联通电信4G手机,3726830,2900.0,3199.00
华为（HUAWEI）,荣耀10 GT游戏加速 AIS手持夜景 6GB+128GB  幻影紫 全网通 移动联通电信4G 双卡双待,7134340,2798.0,2799.00
华为（HUAWEI）,荣耀 V9 play 全网通 标配版 3GB+32GB 铂光金 移动联通电信4G手机 双卡双待,4942719,999.0,999.00
魅族（MEIZU）,魅族 魅蓝 Note6 4GB+32GB 全网通公开版 香槟金 移动联通电信4G手机 双卡双待,5424543,899.0,899.00
华为（HUAWEI）,荣耀 V10 尊享版 6GB+128GB 幻夜黑 移动联通电信4G全面屏游戏手机 双卡双待,5924244,3100.0,2799.00
华为（HUAWEI）,华为 HUAWEI nova 2S 全面屏四摄 6GB +64GB 浅艾蓝 移动联通电信4G手机 双卡双待,5963082,1999.0,2199.00
魅族（MEIZU）,魅族 魅蓝 Note6 4GB+64GB 全网通公开版 皓月银 移动联通电信4G手机 双卡双待,4768473,1099.0,1099.00
锤子（smartisan）,锤子（smartisan）坚果 3 4G+32GB 2D炫光酒红色（限量版） 全网通 移动联通电信4G手机 双卡双待,7029559,899.0,899.00
天语（K-Touch）,天语（K-TOUCH）T2 移动/联通2G 直板按键 双卡双待 老人手机 学生备用功能机 金色,5204046,85.0,89.00
